srcid,Mode,Q1,Q2,Q4,Q5a,Q5f,Q6c,Q7a,Q7c,Q8a,Q8d,Q10a,Q10d,Q11,Q11a,Q12,Q14,Q15,Q16,Q18,sDevType,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,neutral_count,disagree_count,agree_count,very_count,just_count,vmj_count,opinionated,undecided_voter
1284,"""2""","""4""","""11""","""3""","""3""","""3""","""2""","""2""","""2""",8,3,"""4""","""2""","""3""","""1""","""2""","""4""","""1""","""NaN""","""NaN""","""0""","""1""",2,"""2""",8.933333333333326,3,16,18,5,31,-26,False,False
1649,"""2""","""2""","""96""","""1""","""1""","""1""","""3""","""1""","""1""",6,2,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""-98""","""3""","""0""","""2""",3,"""3""",8.783333333333328,8,40,4,12,40,-28,False,False
1013,"""2""","""2""","""1""","""100""","""2""","""1""","""2""","""2""","""4""",7,3,"""5""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""1""","""2""",3,"""1""",10.616666666666662,6,34,14,11,43,-32,False,False
1940,"""1""","""5""","""19""","""3""","""2""","""1""","""2""","""2""","""2""",5,2,"""4""","""5""","""2""","""1""","""3""","""3""","""3""","""NaN""","""NaN""","""-1""","""2""",4,"""1""",16.05000000000001,4,18,14,10,26,-16,False,False
2554,"""2""","""2""","""4""","""4""","""2""","""1""","""4""","""3""","""4""",9,3,"""2""","""2""","""3""","""2""","""2""","""2""","""3""","""NaN""","""NaN""","""1""","""2""",1,"""1""",27.25,5,23,9,11,25,-14,False,False
2064,"""2""","""2""","""33""","""1""","""2""","""1""","""3""","""3""","""2""",5,1,"""4""","""1""","""2""","""1""","""2""","""3""","""3""","""NaN""","""NaN""","""1""","""2""",2,"""1""",12.300000000000011,6,22,9,7,29,-22,False,False
520,"""2""","""4""","""13""","""1""","""1""","""1""","""4""","""2""","""3""",6,2,"""4""","""1""","""2""","""2""","""3""","""3""","""3""","""NaN""","""NaN""","""1""","""2""",4,"""3""",11.983333333333341,2,24,11,10,26,-16,False,False
1647,"""2""","""2""","""1""","""1""","""2""","""2""","""1""","""1""","""1""",6,1,"""5""","""1""","""3""","""2""","""3""","""4""","""2""","""NaN""","""NaN""","""1""","""2""",2,"""1""",4.2666666666666675,1,24,12,20,16,4,True,False
1378,"""1""","""4""","""13""","""3""","""1""","""1""","""2""","""1""","""1""",6,3,"""4""","""4""","""2""","""1""","""2""","""2""","""3""","""NaN""","""NaN""","""-1""","""1""",4,"""1""",12.38333333333334,3,21,12,15,21,-6,False,False
2258,"""2""","""4""","""96""","""-98""","""2""","""2""","""2""","""2""","""2""",4,1,"""2""","""1""","""3""","""2""","""2""","""3""","""1""","""NaN""","""NaN""","""1""","""2""",2,"""1""",10.733333333333334,3,29,5,12,24,-12,False,True
263,"""2""","""2""","""20""","""2""","""2""","""2""","""4""","""1""","""3""",5,1,"""1""","""1""","""2""","""2""","""2""","""1""","""3""","""NaN""","""NaN""","""1""","""2""",2,"""1""",8.83333333333333,2,29,6,11,25,-14,False,False
2425,"""2""","""2""","""11""","""4""","""2""","""2""","""3""","""2""","""2""",5,7,"""4""","""4""","""2""","""2""","""1""","""3""","""2""","""NaN""","""NaN""","""1""","""2""",1,"""1""",8.716666666666661,2,21,14,6,30,-24,False,False
977,"""2""","""4""","""11""","""3""","""1""","""1""","""3""","""2""","""1""",2,1,"""5""","""1""","""1""","""2""","""1""","""2""","""3""","""NaN""","""NaN""","""0""","""2""",4,"""1""",14.65,3,24,10,20,16,4,True,False
1413,"""2""","""2""","""13""","""1""","""3""","""1""","""4""","""2""","""4""",8,2,"""4""","""1""","""1""","""2""","""3""","""2""","""3""","""NaN""","""NaN""","""0""","""1""",4,"""1""",16.150000000000006,1,26,10,10,26,-16,False,False
241,"""2""","""2""","""11""","""4""","""1""","""1""","""2""","""1""","""2""",6,2,"""1""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""0""","""1""",2,"""1""",4.116666666666667,1,47,6,32,22,10,True,False
634,"""2""","""2""","""20""","""3""","""2""","""2""","""1""","""1""","""1""",1,1,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""1""","""1""","""2""",2,"""3""",12.36666666666666,10,28,16,13,41,-28,False,False
1806,"""2""","""2""","""1""","""3""","""1""","""2""","""2""","""3""","""2""",5,3,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""1""","""2""",2,"""1""",20.099999999999998,9,38,7,5,49,-44,False,False
266,"""2""","""2""","""13""","""1""","""2""","""1""","""4""","""1""","""1""",5,3,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""0""","""1""",3,"""1""",7.150000000000001,8,46,0,12,42,-30,False,False
116,"""2""","""2""","""1""","""3""","""2""","""2""","""3""","""1""","""2""",4,2,"""2""","""1""","""2""","""2""","""2""","""3""","""3""","""NaN""","""NaN""","""1""","""1""",1,"""1""",7.550000000000001,5,30,2,10,26,-16,False,False
264,"""2""","""4""","""1""","""3""","""3""","""2""","""2""","""2""","""3""",5,1,"""4""","""2""","""2""","""1""","""3""","""3""","""3""","""NaN""","""NaN""","""0""","""1""",4,"""1""",12.333333333333325,3,19,15,5,31,-26,False,False
1730,"""1""","""1""","""32""","""1""","""2""","""3""","""3""","""2""","""2""",8,1,"""5""","""5""","""1""","""2""","""2""","""1""","""2""","""NaN""","""NaN""","""-1""","""2""",4,"""1""",15.38333333333333,2,25,9,17,19,-2,False,False
1120,"""2""","""2""","""16""","""1""","""2""","""2""","""3""","""1""","""2""",3,1,"""1""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""1""","""2""","""1""",4,"""2""",13.050000000000013,3,20,31,10,44,-34,False,False
